,Tender Link,Title,Buyer,Supplier,Bid Price
0,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
1,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
2,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
3,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
4,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
5,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
6,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
7,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
8,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
9,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
10,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
11,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
12,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
13,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
14,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
15,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
16,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
17,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
18,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
19,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
20,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
