0,1
agent_branch,Agent/Branch
booking_transfer,Booking Transfer
booking_type,Booking Type
branch_transfer,Branch Transfer
branch_transfer_receive,Branch Transfer Receive
branch_transfer_received,Branch Transfer Received
block_lr,Block LR
dispatch_report,Dispatch Report
bus_no,Bus No
cancel_transfer,Cancel Transfer
contact_no,Contact No
current_branch,Current Branch
current_city,Current City
delivery_transfer,Delivery Transfer
filter,Filter
group_boarding_report,Group Boarding Report
journey_date_,Journey Date
less,Less
loading_godown_city_list,Godown City List is loading!
luggage_short_received_successfully,Luggage Short Received Successfully!
more_options_underline,<u>More\nOptions</u>
book_wo_seat_nos_underline,<u>Book w/o\nSeat Nos</u>
msg_transfer_success,Transfer Success
new_bus_type,New Bus Type
no_godown_branch_found,No Godown Branch Found
no_godown_cities,No Godown Cities Found
express_checkout,Express Checkout
delayed_by,Delayed By
pickup_point,Pickup Point
please,Please
pre_bus_type,Pre Bus Type
qr_charge_title,Additional charges for using QR
pd_refund,PD Charges Refund
fare_refund,Fare Refund
select_consignment_type,Select Consignment Type
select_godown_city_first,Please select Godown City first
select_destination_city_short,Select Destination City
select_transfer_branch,Select Transfer Branch
service_name,Service Name
show_list,Show List
more,More
select_option_search_by,Select Option Search By
sms_template,SMS Template
sms_type,SMS Type
source_city,Source City
source_branch,Source Branch
staff_mno,Staff MNo.
transfer,Transfer
transfer_branch,Transfer Branch
transfer_date,Transfer Date
transfer_luggage,Transfer Luggage
transfer_reason,Reason
transfer_receive,Transfer Receive
transfer_to,Transfer To
actual_weight,Actual Weight
charged_weight,Charged Weight
saved_details,Select from saved details
otp,Enter OTP
resend_otp,Resend
short_receive,Short Receive
cover_warning_for_other_booking_type,Only Payment Type Paid Is Applicable For This Consignment Type
packet_warning_for_other_booking_type,Payment Type should not be TO-PAY  for this consignment type
cover_freight_restrictions,Minimum freight should be 40
packet_freight_restrictions,Minimum freight should be 90
label_consignor,Consignor
label_consignee,Consignee
hint_party_id,Party ID
label_credit_limit,Credit Limit :
label_usages,Usage :
label_location_not_provided,Location is not provided
label_show_qr,Show QR
label_hide_qr,Hide QR
label_sr,Sr. 
label_branch_name,Branch: 
label_mode,Mode: 
label_recharge_date,RechargeDate: 
label_amount,Amount: 
label_qr_pending_payment,QR Pending Payments
label_edit_dispatch,Edit Dispatch
toolbar_dispatched,Cancel Dispatch
msg_cancel_dispatch_success,Dispatch Cancelled Successfully
msg_cancel_dispatch_faild,Dispatch Cancelled Fail
transporter_name,Transporter Name
label_correct_information,Is the information correct?
message_ewaybilt_different_transporter,Transporter-ID does not match to yours
label_add,ADD
label_select_ewaybill,Please Select At Least One Eway Bill
label_already_added,This Eway bill already added
label_correct_eway_bill,Enter Correct Eway Bill
select_party,Select Party
party_name,Party Name
party_mobile,Party Mobile No
party_address,Party Address
party_gstn,Party GSTN
party_credit_limit,Party creditLimit
block_lr_remarks,"Blocked LRNO is: 123 , Please Enter Remarks"
toolbar_rate_inquiry,Cargo | Rate\ETA Inquiry
label_rate_enquiry,Show Rate
label_rate_enquiry_underlined,<u>Show Rate</u>
label_rate_per_kg,Rate (Rs/KG)
label_eta_days,ETA (Days)
label_crossings,Crossings
label_lr_number,LR Number
label_block_lr_number,LR Number : 123
label_blocking_party,Blocking Party : 123
toolbar_dispatch_report,Dispatch Report
select_dispatch_by_branch,Select Dispatch By Branch
label_dispatch_by_branch,Dispatched By Branch
label_go,GO
select_vehicle_no,select Vehicle No
label_report_type,Report Type
label_challan_no,Challan No
label_dispatch_date_range,Dispatch Date Range
label_dispatch_date,Dispatch Date
toolbar_select_from_map,Select Branch From Map
label_user_location,User Location Point :
label_near_by_branches,Show Near By Branches
label_both,Both
label_select_summary_type,Select Summary Type
label_dispatch_to_city,Dispatched To City
label_dispatch_to_branch,Dispatched To Branch
label_dispatch_to,Dispatched To
dispatch_report_type_1,Vehicle-wise Challan-wise Summary
dispatch_report_type_2,Vehicle-wise Summary (Cancelled dispatch)
dispatch_report_type_3,Summary Only
dispatch_report_type_4,Detailed Summary
dispatch_report_type_5,Summary with Hamali &amp; Cartage
dispatch_report_type_6,Summary with other charges
dispatch_report_type_7,Branch Summary
dispatch_report_type_8,No Vehicle Group
toolbar_report_type,Select Summary Type
label_report_generation_time,Generation Time: 
label_detail,Detail
label_sender_name,Sender Name
label_receiver_name,Receiver Name
label_cartage,Cartage
label_all_hamali,All Hamali
other_charges,Other Charges
label_payment_summary,Payment Summary - 
label_total_gst,Total GST
label_refresh,Refresh
label_cancel_by_user,CAND User
label_cancel_by_branch,CAND Branch
label_cancel_date,CAND Date
label_company_name,Company Name
label_to_pay_units,ToPay Units
label_to_pay_lr_count,ToPay LR Count
label_to_pay_amount,ToPay Amount
label_to_pay_freight,ToPay Freight
label_to_pay_gst_other,ToPay GST + Other
label_paid_lr_count,Paid Units
label_paid_lr_count1,Paid LR Count
label_paid_amount,Paid Amount
label_paid_freight,Paid Freight
label_paid_gst_other,Paid GST + Other
label_on_account_lr_count,OnAccount Units
label_on_account_lr_count1,OnAccount LR Count
label_on_account_amount,OnAccount Amount
label_on_account_freight,OnAccount Freight
label_on_account_gst_other,OnAccount GST + Other
label_foc_self_lr_count,FOC + Self Units
label_foc_self_lr_count1,FOC + Self LR Count
label_foc_self_amount,FOC + Self Amount
label_foc_self_freight,FOC + Self Freight
label_foc_self_gst_other,FOC + Self GST+ Other
label_ddv_count,DDDV Units
label_ddv_count1,DDDV LR Count
label_dddv_amount,DDDV Amount
label_dddv_freight,DDDV Freight
label_dddv_gst_other,DDDV GST + Other
label_total_units,Total Units
label_total_lr,Total LR Count
label_total_freight,Total Freight
label_total_gst_other,Total GST + Other
label_self_freight,Self Freight
label_dispatch_from_city,Dispatch From City
label_total_net_amount,Total Net Amount
label_dispatch_by_city,Dispatch By City
label_from_lr_booking_date,From LR Booking Date
label_to_lr_booking_date,To LR Booking Date
label_lr_count,LR Count/Unit
label_more,more
label_less,less
label_ddv_ftl,DDDV/FTL
label_amount_tooltext,Freight + Hamali + Cartage	
toolbar_receive_report,Receive Report
toolbar_detailed_receive_report,Detailed - Receive Report
toolbar_summary_receive_report,Summary -Receive Report
label_booking_city,Booking City
label_select_report_type,Select Report Type
label_received_by_branch,Received By Branch
label_select_received_by_branch,Select Received By Branch
receive_report_type_1,Detailed
receive_report_type_2,Summary
label_select_booking_type,Select Booking Type
label_online,Online
label_offline,Offline
label_show_auto_receive,Show Auto Receive Only
label_lr_report,LR Report
label_nop_units,NOP/Units
label_receipt,Receipt
label_dispatch_by,Dispatch By
label_lr_details,LR Details
label_dis_from_city,Disp From City
label_dis_from_branch,Disp From Branch
label_dest_city,Dest City
label_dest_branch,Dest Branch
label_receive_branch,Receive Branch
receive_city,Receive City
label_on_account_amt,OnAccount Amt
tracking,Bus Tracking
toolbar_chart_transfer,Chart Transfer
label_arrange_transfer,Arrange Transfer
toolbar_chart_details,Chart Details
label_select_chart,Select Chart
label_select_chart1,--Select Chart--
label_old_Seat_chart,Old Chart
label_new_Seat_chart,new Chart
dropoff2,Dropoff :
label_select_seat,Selected old seats
transfer_all,Transfer all
label_chat_and_arrangement,Chart / Arrange Transfer
message_type_1,Please select empty seats
message_type_2,Please select booked seats
toolbar_arrange_transfer,Arrange Transfer
label_transfer_succesfully,You have successfully transferred old seats to new seats
label_confirm_sms,Confirm SMS
label_select_different_seat,Please select different seat
label_old_seat,Old Seats
label_new_seat,New Seats
label_sms_success,Sms sent successfully
label_route_is_loading,Route is loading
error_select_chart,Select chart for transfer
select_pickup_droooff,Select Pickup &amp; Dropoff
label_old_pick_up,Old Pickup
label_old_drop_off,Old Dropoff
label_new_pick_up,New Pickup
label_new_drop_off,New Dropoff
label_select_new_pick_up,Select New Pickup
label_select_new_drop_off,Select New Dropoff
booked_by,Booked By
delivered_by,Delivered By
msg_pickup_loading,Pickup is loading
msg_drop_off_loading,Dropoff is loading
valid,Valid
validate_boarding,Validate Boarding for seat
validate_pin,Validation using pin 
cash_amount,Cash Amount
cb_cash_amount,CB Cash amount
cb_non_cash_amount,CB Non Cash amount
pin,Pin
qr,QR
inactive_trip,Currently all sub-routes are closed !
confirm_add_expense_msg,\nDo you want to add expense ?
yes_add_expense,Yes
no_close,Close
not_available,Not Available
lr_waybill,Lr(s)/Waybill(s)
lr_waybill_single,Lr/Waybill
total_qty,Total Qty
volumetric_cm,Volumetric Weight(KG) =(Length*Width*Height/5000)
volumetric_mm,Volumetric Weight(KG) =(Length*Width*Height/5000000)
volumetric_inch,Volumetric Weight(KG) =(Length*Width*Height*16.3871/5000)
please_enter_goods_value,Please enter goods value
crossing_cartage,Crossing Cartage
please_enter_crossing_remarks,Please enter Crossing Remarks
crossing_remarks,Crossing Remarks
validate,Validate
please_enter_collection_cartage,Please enter Collection cartage
branch_stock,Branch Stock
units,Units
add_manually,Add Manually
add_lr,Add LR Manually
lrs,LRs
lrno,LRNO
consignment_refund,Consignment Refund
consignment_type,Consignment Type
refund_amount,Refund amount
reason_for_refund,Reason for refund
refund_success,Refund is successful
type_of_goods,Type of goods
type_of_collection,Type of collection
sender_mobile_no_,Sender mobile No
receiver_mobile_no_,Receiver mobile No
manuel_lr_no,Manual LR No
common_lr,LR Search
delivery_date,Delivery date
bill_date,Bill date
dispatch_date_time,Dispacth date time
from_branch,From branch
datetime,Date Time
balance,Balance
recharge_amount,Recharge amount
mode_type,Cheque / Draft / Card #
select_input_type,Select input type
label_to_pay,To-Pay
label_self,Self
label_dddv,DDDV
label_ftl,FTL
scam_qr,Scan QR
print_office_copy,Print office copy
print_cust_copy,Print customer copy
desc,Desc
sender_name_,Sender Name
receiver_name_,Reciever Name
label_valuation,Valuation
hamali_all,All Hamali
label_dispatch_from_branch,Dispatch From Branch
label_dispatch_from,Dispatch From
label_dddv_dispatch,DDDV Dispatch
select_item_type,Select item type
special_vehicle,Special vehicle
hired_vehicle,Hired vehicle
dispatch_date_,Dispatch Date:
change_destination_branch,Do you want to change the Destination Branch?
crossing,Crossing
godown,Godown
gstn,GSTN
label_destination_branch,Destination Branch
select_items,Select Items
date,Date
monthly,Monthly
month,Month
generated_on,Generated on
by_branch,By branch
dispatch_memo_no,Dispatch memo no
item_type_,Item type
add_more_details,<u>Add More Details</u>
show_less,<u>Show less</u>
show_list_all,Show list all
label_vehicle_wise,vehicle wise
label_challan_wise,challan wise
label_dddv_receive,DDDV Receive
label_lit_receive,LIT
dispatched_from_city,Dispatched from City
lebel_receiving_city,Receiving City
label_receiving_branch,Receiving Branch
label_select_vehicle,Select Vehicle
vehicle_wise,vehicle wise
challan_wise,challan wise
selected_lr_no,Selected LR No
select_receving_branch,Select Receving Branch
select_challan,Select Challan
total_short_qty,Total Short Qty
total_damage_qty,Total Damage Qty
label_transfer_from_city,Transfer From City
label_transfer_from_branch,Transfer From Branch
label_destination_city,Destination City
label_source_city,Source City
label_source_branch,Source Branch
total_items_,Total Items:
isd_code,ISD
add_receiver_details,<u>Add Receiver Details</u>
add_sender_details,<u>Add Sender Details</u>
compliance,compliance
bill_info,Bill Info
select_id_proof_type,Select ID Proof
party_details,Party Details
show_all,Show All
party_email_id,Party Email ID
party_pin_code,Party Pincode
email_id,Email ID
pinCode,Pincode
upload_underline,<u>Upload</u>
validate_underline,<u>Validate</u>
sender_city_state,<![CDATA[Sender City & State]]>
close_all,Close All
close_sender_details,Close Sender Details
receiver_city_state,<![CDATA[Reciever City & State]]>
add,Add
operator_hamali,Operator Hamali
weight_charge,Weight Charge
sender_id_and_image,<![CDATA[Sender ID & Image]]>
select_sender_id_type,Select Sender ID Type
enter_sender_id_number,Enter Sender ID Number
sender_id_image,Sender ID Image
upload_sender_id_image,Upload Sender ID Image
sender_image,Sender Image
upload_sender_image,Upload Sender Image
receiver_pin_code,Receiver Pincode
for_approval,FOC approval authority
rupees_symbol,₹
self_booking_pnr,PNR Number
btn_save,Save
print_report,Print Report
consignment,Consignment
booking_reprint,booking reprint
booking_cancel,booking cancel
delivery_cancel,delivery cancel
delivery_reprint,delivery reprint
book_again,book again
hello_blank_fragment,Hello blank fragment
booking_date_and_time,<![CDATA[Booking Date & Time]]>
way_bill_no_lr_no,Way Bill No (LR No.)
reprint_duplicate_copy,REPRINT (DUPLICATE COPY)
destination_city,Destination City
destination_branch,Destination Branch
delivery_date_and_time,<![CDATA[Delivery Date & Time]]>
search_new_lr,search new lr
dispatch_remarks,Dispatch Remarks
receive_remarks,Receive Remarks
received_date_and_time,<![CDATA[Received Date & Time]]>
label_received_by,Received By
delivery_charge,Delivery Charge
agent_city,Agent City
select_agent_city,Select agent city
bank_name,Bank name
transaction_id,Transaction Id
choose_date,Choose a payment date!
payment_modes_not_loaded,Payment modes list is not loaded!
bus_advance,Bus Advance
total_fare_gst,Total Fare(+GST)
trip_detail_not_found_error,Trip Details Not Found For Selected Chart Date
error_non_reporting_seat,Error while non-reporting seats!
error_storing_in_cache,Error while storing into cache!
msg_confirm_non_report_seat,Seat will be non-reported by following action.
inKM,0 – 20\nKMPH
inKM2,20 – 50\nKMPH
inKM3,50 – 80\nKMPH
inKMfinal,80+\nKMPH
select_pnr,Select PNR
disable_old_devices,Disable Old Devices
manage_devices,Manage Devices
branch_recharge,Branch Recharge
pickup_man_mob_no,Pickupman mobile number
label_gps_config_fail,Bus not assigned or GPS not configured.
i_was_there,I was there
send_i_was_there,Send I was there SMS
pd_charge,Pickup dropoff charge
quick_view_detail,Quick View Detail
chart_date_wise_report,Chart Date Wise Report
base_fare,Base Fare
base_fare_with_gst,Base fare with GST
net_fare,Net fare
net_fare_gst,Net fare with GST
cc_earned,CC Earned
booking_date_wise,Booking Datewise report
select_payment_mode,Select payment mode
select_qr_payment_mode,Select QR payment mode
bus_qrs,Bus QRs
other_qrs,Other QRs
selected_transaction,Selected transaction Ids
transaction_amount,Transaction amount
qr_less_amount_error,"Scanned amount is less than the total fare, Scan different QR or change the payment mode to continue the booking !"
trans_dt_time,Transaction date time
mobile_number,Mobile number
apply,Apply
quota_of,Quota of
cancel_chart,Cancel chart
get_qr_to_scan,Get QR to scan
pdbf_voucher,PBDF Voucher
fill_info,Fill with customer Mobile number and Email ID(optional) to generate prepaid card against the mobile number.
coupon_code,Coupon code
validity,Validity
transaction_code,Enter transaction code
transaction_code_,Transaction code
click_swipe_machine,Click preferred swipe machine type to proceed
warning_payment,Please do not press back button or home button through the payment for a better payment experience
swipe_charges,Swipe charges
order_id,Order ID
ezetap_payment,Card payment
review_and_proceed,Review and proceed
payment_info,Payment info
go_to_seatchart,go to seat chart
pay,Pay
amount_payable,Amount payable
customer_name,Customer name
review_and_pay,Review and Pay
label_tnc,T&amp;C
label_view_coupons,View coupons
coupon_discount,Coupon discount
select_issuer,Select issuer
qr_valid_fail,"QR validation failed , use a different QR or scan again !"
trans_amount,Transaction amount
bus_transactions,Bus transaction
other_transactions,Other transactions
offline_trips_tonetag,Tonetag - Offline trips
four,Four
fare_in_rupees,Fare in rs
version_name,Version name
build__number,Build number
tv_last_synced,Last synced
amntin_rs,Pass penalty
show_date,Show date
show_time,Show time
dec_date,Start date
route_len,Route
number_given,Number given
operator_name,Operator name
end_price,End price
book_amount,Booking amount
booking_count,Booking count
pnr_number,PNR number
seat_type_number,Seat type number
path_route,Path route
conc_rate,Concession rate
travels_name,Mantis travels
security_pattern,"For security, set pattern"
hold_release,Hold release
copy_fare,Copy fare
start_date,Start date
voucher_success,Voucher success
order_list,Order list
other_expenses,Other expenses
tnc_link,You agree to our Terms of Use agreement and Privacy Policy
agent_details,Agent Details
agenta_net_amount_,Agent Net Amount :
add_penalty,Add Penalty
additional_charges_qr,Additional charges - QR
adv_book_amnt,Adv. Book Amnt
adv_book_seates,Adv. Book Seats
advance_booking,Advance Booking
all_cities,All Cities
all_details,All Details
all_seat,All Seat
amounts,Amounts
amount_gst,Amount+GST
amt,Amt
applied,Applied
applied_to_seat,Applied to Seat
assigned_trip_total,Assigned Trip Total
msg_assignment_data_sync,Assignment Data Sync
assigned,Assigned
auto_pos,AutoPOS
available,Available
berth,Berth
berth_no,Berth No
boarded,Boarded
blocked,Blocked
boarding_data_synced,Boarding data synced!
booking_dt,Booking dt
boarding_report_sync,Boarding Report Sync
booked_successfully,Booked successfully
branch_details,Branch Details
brand,Brand
bus_cancellation,Bus Cancellation
bus_conductor,BUS | Conductor
bus_early,Bus Early
bus_no_change,Bus No Change
bus_passenger,BUS | Passenger
bus_type_change,Bus Type Change
c_b_cash_amnt,C.B Cash Amnt
c_b_non_cash_amnt,C.B Non Cash Amnt
cache_data_sync,Cache Data Sync
can_not_logout,Can not logout!
cargo_refund,Cargo Refund
cargo_report,Cargo report
cargo_block_lr,Cargo | Block LR
cargo_booking,Cargo | Booking
cargo_branch_recharge,Cargo | Branch Recharge
cargo_dispatch,Cargo | Dispatch
cargo_delivery,Cargo | Delivery
