Key,English Words,Translation
d0,0,0
d1,1,1
d2,2,2
d3,3,3
d4,4,4
d5,5,5
d6,6,6
d7,7,7
d8,8,8
d9,9,9
d10,10,10
d11,11,11
d12,12,12
label_select_chart1,--Select Chart--,चार्ट चुनें
zero_to_20_kmph,0 to 20 KMPH,0 से 20 किमी प्रति घंटा
twenty_to_50_kmph,20 to 50 KMPH,20 से 50 किमी प्रति घंटा
fifty_to_80_kmph,50 to 80 KMPH,50 से 80 किलोमीटर प्रति घंटा
eighty_plus_kmph,80+ KMPH,80+ किमी प्रति घंटा
actual_weight,Actual Weight,वास्तविक भार
add,Add,जोड़ें
add_lr_manually,Add LR Manually,एलआर को मैन्युअल रूप से जोड़ें
add_manually,Add Manually,मैन्युअल रूप से जोड़ें
additional_charges_qr,Additional charges - QR,अतिरिक्त शुल्क - क्यूआर
after_booking,After Booking,बुकिंग के बाद
after_departure,After Departure,प्रस्थान के बाद
agent_city,Agent City,एजेंट शहर
agent_net_amount,Agent Net Amount :,एजेंट की कुल राशि :
agent_type,Agent Type,एजेंट का प्रकार
agent_branch,Agent/Branch,एजेंट/शाखा
all_hamali,All Hamali,सभी हमाली
all_trips,All Trips,सभी ट्रिप्स
amount_plus_gst,Amount + GST,राशि + जीएसटी
amount_payable,Amount payable,देय राशि
label_amount,Amount:,संख्या
apply,Apply,आवेदन करें
arrange_transfer,Arrange Transfer,स्थानांतरण की व्यवस्था करें
auto_cancel_new,Auto Cancel New,"ऑटो कैंसल, नया "
auto_wala,Auto Wala,ऑटो वाला
balance,Balance,बैलेंस/शेष
bank_name,Bank name,बैंक का नाम
base_fare,Base Fare,बेस किराया
base_fare_with_gst,Base fare with GST, जीएसटी के साथ बेस किराया
before_departure,Before Departure,जाने से पहले/रवाना होने से पहले
bengaluru,Bengaluru,बेंगलुरु
bill_date,Bill date,बिल की तिथि
bill_info,Bill Info,बिल की जानकारी
block_lr,Block LR,एलआर ब्लॉक करें
blocking_party,Blocking Party,पार्टी ब्लॉक करें
boarded,Boarded,बोर्ड किया
book,Book,बुक करना/बुक करें
book_again,Book again,फिर से बुक करें
book_amt,Book Amt,राशि बुक करें
booked_by,Booked By,किसके द्वारा बुक किया गया
booking_amount,Booking Amount,बुकिंग राशि
booking_city,Booking City,बुकिंग शहर
booking_date_wise,Booking Datewise report,तिथि के अनुसार बुकिंग रिपोर्ट
booking_from_to,Booking From - To, कहाँ से कहाँ तक बुकिंग
booking_other_charges,Booking Other Charges, अन्य शुल्क बुक करना
booking_transfer,Booking Transfer,स्थानान्तरण बुक करना
booking_type,Booking Type,बुकिंग का प्रकार
booking_remark,Booking Remark,बुकिंग टिप्पणी
label_both,Both,दोनों
branch_agent_booking_report,Branch /Agent Booking Report,शाखा/एजेंट बुकिंग रिपोर्ट
tv_brach_phone,Branch phone,शाखा फ़ोन
branch_recharge,Branch Recharge,शाखा रीचार्ज
branch_recharge_is_not_allowed,Branch recharge is not allowed,शाखा रीचार्ज की अनुमति नहीं है
branch_stock,Branch Stock,शाखा स्टॉक
dispatch_report_type_7,Branch Summary,शाखा सारांश
branch_transfer,Branch Transfer,शाखा स्थानांतरण
branch_transfer_receive,Branch Transfer Receive,शाखा स्थानांतरण प्राप्त करें
branch_transfer_received,Branch Transfer Received,शाखा स्थानांतरण प्राप्त हुआ
label_branch_name,Branch:,शाखा:
broker,Broker,ब्रोकर
bus_advance,Bus Advance,बस एडवांस
