Key,English Words,Translation
d0,0,0
d1,1,1
d2,2,2
d3,3,3
d4,4,4
d5,5,5
d6,6,6
d7,7,7
d8,8,8
d9,9,9
d10,10,10
d11,11,11
d12,12,12
label_select_chart1,--Select Chart--,પસંદ કરો ચાર્ટ
zero_to_20_kmph,0 to 20 KMPH,0થી 20 કિમીપ્રક 
twenty_to_50_kmph,20 to 50 KMPH, 20 થી 50 કિમીપ્રક
fifty_to_80_kmph,50 to 80 KMPH, 50 થી 80 કિમીપ્રક
eighty_plus_kmph,80+ KMPH,80+કિમીપ્રક
actual_weight,Actual Weight,વાસ્તવિક વજન 
add,Add,ઉમેરો 
add_lr_manually,Add LR Manually,ઉમેરો એલઆર મેન્યુલી 
add_manually,Add Manually,ઉમેરો મેન્યુલી 
additional_charges_qr,Additional charges - QR, વધારાના દર-કયુઆર 
after_booking,After Booking, બુકિંગ બાદ 
after_departure,After Departure, પ્રસ્થાન બાદ 
agent_city,Agent City,એજન્ટ શહેર
agent_net_amount,Agent Net Amount :,એજન્ટ ચોખ્ખી રકમ:  
agent_type,Agent Type,એજન્ટ પ્રકાર 
agent_branch,Agent/Branch,એજન્ટ/શાખા 
all_hamali,All Hamali, બધા હમાલી 
all_trips,All Trips,ટ્રીપ્ઝ 
amount_plus_gst,Amount + GST, રકમ+જીએસટી 
amount_payable,Amount payable, ચૂકવવાપાત્ર રકમ 
label_amount,Amount:,રકમ: 
apply,Apply, લાગુ કરો 
arrange_transfer,Arrange Transfer, ગોઠવો ટ્રાન્સફર 
auto_cancel_new,Auto Cancel New,ઓટો કેન્સલ નવું 
auto_wala,Auto Wala,ઓટો વાલા 
balance,Balance,સિલક 
bank_name,Bank name,બેન્કનું નામ 
base_fare,Base Fare, પાયાનું ભાડું 
base_fare_with_gst,Base fare with GST, જીએસટી સહિત પાયાનું ભાડું 
before_departure,Before Departure, પ્રસ્થાન પહેલાં 
bengaluru,Bengaluru, બેંગાલેરું 
bill_date,Bill date, બિલ તારીખ 
bill_info,Bill Info, બિલ માહિતી 
block_lr,Block LR, બ્લોક એલઆર 
blocking_party,Blocking Party,બ્લોકિંગ પાર્ટી 
boarded,Boarded, બોર્ડેડ 
book,Book,બુક 
book_again,Book again,બુક ફરીથી 
book_amt,Book Amt, બુક રકમ 
booked_by,Booked By, બુક્ડ દ્વારા 
booking_amount,Booking Amount, બુકિંગ રકમ 
booking_city,Booking City, બુકિંગ શહેર 
booking_date_wise,Booking Datewise report,બુકિંગ તારીખપ્રમાણે અહેવાલ 
booking_from_to,Booking From - To,બુકિંગ તારીખથી_તારીખ સુધી 
booking_other_charges,Booking Other Charges,બુકિંગ અન્ય ચાર્જીસ 
booking_transfer,Booking Transfer,બુકિંગ ટ્રાન્સફર 
booking_type,Booking Type,બુકિંગ પ્રકાર 
booking_remark,Booking Remark, બુકિંગ રીમાર્ક 
label_both,Both,બંન્ને 
branch_agent_booking_report,Branch /Agent Booking Report,શાખા/એજન્ટ બુકિંગ અહેવાલ 
tv_brach_phone,Branch phone, શાખા ફોન 
branch_recharge,Branch Recharge,શાખા રીચાર્જ 
branch_recharge_is_not_allowed,Branch recharge is not allowed, શાખા રીચાર્જ માન્ય નથી 
branch_stock,Branch Stock, શાખા સ્ટોક 
dispatch_report_type_7,Branch Summary,શાખા સારાંશ 
branch_transfer,Branch Transfer, શાખા ટ્રાન્સફર 
