Key,English Words,Translation
d0,0,0
d1,1,1
d2,2,2
d3,3,3
d4,4,4
d5,5,5
d6,6,6
d7,7,7
d8,8,8
d9,9,9
d10,10,10
d11,11,11
d12,12,12
label_select_chart1,--Select Chart--,ചാർട്ട് സെലക്റ്റ് ചെയ്യുക
zero_to_20_kmph,0 to 20 KMPH,മണിക്കൂറിൽ 0 മുതൽ 20 കി.മീറ്റർ വരെ
twenty_to_50_kmph,20 to 50 KMPH,മണിക്കൂറിൽ 20 മുതൽ 50 കി.മീറ്റർ വരെ
fifty_to_80_kmph,50 to 80 KMPH,മണിക്കൂറിൽ 50 മുതൽ 80 കി.മീറ്റർ വരെ
eighty_plus_kmph,80+ KMPH,മണിക്കൂറിൽ 80 കി.മീറ്ററിനേക്കാൾ അധികം
actual_weight,Actual Weight,ശരിയായ ഭാരം 
add,Add,ചേർക്കുക
add_lr_manually,Add LR Manually,എൽ ആർ എഴുതിച്ചേർക്കുക
add_manually,Add Manually,എഴുതിച്ചേർക്കുക
additional_charges_qr,Additional charges - QR,കൂടുതലായ ചാർജ്ജുകൾ - ക്യു ആർ
after_booking,After Booking,ബുക്കിംഗിനു ശേഷം
after_departure,After Departure,പുറപ്പെട്ടതിനു ശേഷം
agent_city,Agent City,ഏജൻ്റിൻ്റെ പട്ടണം
agent_net_amount,Agent Net Amount :,ഏജൻ്റിൻ്റെ മൊത്തം തുക:
agent_type,Agent Type,ഏജൻ്റിൻ്റെ തരം
agent_branch,Agent/Branch,ഏജൻ്റ് / ബ്രാഞ്ച്
all_hamali,All Hamali,എല്ലാ ചുമട്ടുകാരും
all_trips,All Trips,എല്ലാ ട്രിപ്പുകളും 
amount_plus_gst,Amount + GST,തുക + ചരക്കുസേവനനികുതി
amount_payable,Amount payable,കൊടുക്കേണ്ട തുക 
label_amount,Amount:,തുക:
apply,Apply,ചേർക്കുക
arrange_transfer,Arrange Transfer,ട്രാൻസ്ഫർ ഏർപ്പാടു ചെയ്യുക
auto_cancel_new,Auto Cancel New,പുതിയത് സ്വമേധയാ റദ്ദാക്കുക
auto_wala,Auto Wala,ഓട്ടോക്കാരൻ 
balance,Balance,മിച്ചം
bank_name,Bank name,ബാങ്കിൻ്റെ പേര്
base_fare,Base Fare,അടിസ്ഥാന കൂലി
base_fare_with_gst,Base fare with GST,ചരക്കുസേവനനികുതി സഹിതമുള്ള അടിസ്ഥാന കൂലി
before_departure,Before Departure,പുറപ്പെടുന്നതിനു മുമ്പ്
bengaluru,Bengaluru,ബംഗളുരു
bill_date,Bill date,ബില്ലിൻ്റെ തീയതി
bill_info,Bill Info,ബില്ലിലെ വിവരങ്ങൾ
block_lr,Block LR,എൽ ആർ ബ്ലോക്ക് ചെയ്യുക
blocking_party,Blocking Party,ബ്ലോക്ക് ചെയ്യുന്ന പാർട്ടി
boarded,Boarded,ബോർഡ് ചെയ്തു 
book,Book,ബുക്ക് ചെയ്യുക
book_again,Book again,വീണ്ടും ബുക്ക് ചെയ്യുക
book_amt,Book Amt,ബുക്ക് ചെയ്ത തുക
booked_by,Booked By,ബുക്ക് ചെയ്ത വ്യക്തി
booking_amount,Booking Amount,ബുക്ക് ചെയ്ത തുക
booking_city,Booking City,ബുക്ക് ചെയ്ത പട്ടണം 
booking_date_wise,Booking Datewise report,ബുക്കിംഗിൻ്റെ തീയതിപ്രകാരമുള്ള റിപ്പോർട്ട്
