Tag,String,Translation
advance_booking,Advance Booking,அட்வான்ஸ் புக்கிங்க்
agent_details,Agent Details,ஏஜென்ட் விவரங்கள்
all_branches,All Branches,எல்லா கிளைகளும்
all_cities,All Cities,எல்லா நகரங்களும்
all_details,All Details,எல்லா விவரங்களும்
all_users,All Users,எல்லா பயணர்களும்
an_error_occured,An error occurred,ஒரு பிழை நடந்துவிட்டது
assigned,Assigned,ஒதுக்கப்பட்டுள்ளது
assigned_trip_total,Assigned Trip Total,ஒதுக்கப்பட்டுள்ள மொத்த பயணம்
autopos,AutoPOS,ஆட்டோ POS
bkd_seats,Bkd Seats,புக் செய்த இருக்கைகள்
block_lr_failed,Block LR Failed,ப்ளாக் செய்த LR தோல்வி
blocked,Blocked,தடுக்கப்பட்டது
bluetooth_already_connected,Bluetooth already connected,ப்ளூடூத் ஏற்கனவே இணைக்கப்பட்டுள்ளது
bluetooth_connected,Bluetooth connected.,ப்ளூடூத் இணைக்கப்பட்டுள்ளது
booking_dt,Booking Dt,புக்கிங்க் தேதி
booking_print,Booking Print,புக்கிங்க் ப்ரிண்ட்
branch_details,Branch Details,கிளை விவரங்கள்
brand,Brand,பிராண்ட்
buildnumber,BuildNumber,பில்ட் நம்பர்
bus_cancellation,Bus Cancellation,பஸ் ரத்து
nus_early,Bus Early,பஸ் சீக்கிரம்
bus_delay,Bus Delay,பஸ் தாமதம்
bus_no_change,Bus No Change,பஸ்ஸில் மாற்றம் இல்லை
bus_conductor,BUS | Conductor,பஸ் / நடத்துனர்
bus_passenger,BUS | Passenger,பஸ் / பயணி
bus_type_change,Bus Type Change,பஸ் வகை மாற்றம்
camera_permission_granted,Camera permission granted!!,கேமரா அனுமதி வழங்கப்பட்டுள்ளது
cancel_chart_successfull,Cancel chart sucessfull,ரத்து விளக்கப்படம் வெற்றி
cancelled_successfully,Cancelled successfully,வெற்றிகரமாக ரத்து செய்யப்பட்டுள்ளது
charges,Charges,கட்டணங்கள்
cargo_block_lr,Cargo | Block LR,கார்கோ / LR தடுப்பு
cargo_booking,Cargo | Booking,கார்கோ / புக்கிங்க்
cargo_branch_recharge,Cargo | Branch Recharge,கார்கோ / கிளை ரீசார்ஜ்
cargo_branch_transfer_receive,Cargo | Branch Transfer Receive,கார்கோ / கிளை பரிமாற்றம் பெறவும்
cargo_branch_transfer_received,Cargo | Branch Transfer Received,கார்கோ / கிளை பரிமாற்றம் பெற்றுள்ளது
cargo_cancel_branch_transfer,Cargo | Cancel Branch Transfer,கார்கோ / கிளை பரிமாற்றம் ரத்து
