Key,English Words,Translation
d0,0,੦
d1,1,੧
d2,2,੨
d3,3,੩
d4,4,੪
d5,5,੫
d6,6,੬
d7,7,੭
d8,8,੮
d9,9,੯
d10,10,੧੦
d11,11,੧੧
d12,12,੧੨
label_select_chart1,--Select Chart--,--ਚਾਰਟ ਚੁਣੋ--
zero_to_20_kmph,0 to 20 KMPH,੦ ਤੋਂ ੨੦ ਕਿਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ
twenty_to_50_kmph,20 to 50 KMPH,੨੦ ਤੋਂ ੫੦ ਕਿਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ
fifty_to_80_kmph,50 to 80 KMPH,੫੦ ਤੋਂ ੮੦ ਕਿਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ
eighty_plus_kmph,80+ KMPH,੮੦+ ਕਿਲੋਮੀਟਰ ਪ੍ਰਤੀ ਘੰਟਾ
actual_weight,Actual Weight,ਅਸਲ ਭਾਰ
add,Add,ਸ਼ਾਮਲ ਕਰੋ
add_lr_manually,Add LR Manually,ਹੱਥੀਂ ਐਲ.ਆਰ. ਸ਼ਾਮਲ ਕਰੋ
add_manually,Add Manually,ਹੱਥੀਂ ਸ਼ਾਮਲ ਕਰੋ
additional_charges_qr,Additional charges - QR,ਵਾਧੂ ਖਰਚੇ - ਕਿਉ.ਆਰ.
after_booking,After Booking,ਬੁਕਿੰਗ ਦੇ ਬਾਅਦ
after_departure,After Departure,ਰਵਾਨਗੀ ਤੋਂ ਬਾਅਦ
agent_city,Agent City,ਏਜੰਟ ਸ਼ਹਿਰ
agent_net_amount,Agent Net Amount :,ਏਜੰਟ ਦੀ ਕੁੱਲ ਰਕਮ:
agent_type,Agent Type,ਏਜੰਟ ਦੀ ਕਿਸਮ
agent_branch,Agent/Branch,ਏਜੰਟ/ਸ਼ਾਖਾ
all_hamali,All Hamali,ਸਭ ਹਮਾਲੀ
all_trips,All Trips,ਸਾਰੀਆਂ ਯਾਤਰਾਵਾਂ
amount_plus_gst,Amount + GST,ਰਕਮ + ਜੀ.ਐਸ.ਟੀ.
amount_payable,Amount payable,ਭੁਗਤਾਨਯੋਗ ਰਕਮ
label_amount,Amount:,ਰਕਮ:
apply,Apply,ਲਾਗੂ ਕਰੋ
arrange_transfer,Arrange Transfer,ਟ੍ਰਾਂਸਫਰ ਦਾ ਪ੍ਰਬੰਧ ਕਰੋ
auto_cancel_new,Auto Cancel New,ਆਟੋ ਰੱਦ ਕਰੋ ਨਵਾਂ
auto_wala,Auto Wala,ਆਟੋ ਵਾਲਾ
balance,Balance,ਸੰਤੁਲਨ
bank_name,Bank name,ਬੈਂਕ ਦਾ ਨਾਮ
base_fare,Base Fare,ਮੁਢਲਾ ਕਿਰਾਇਆ
base_fare_with_gst,Base fare with GST,ਜੀ.ਐਸ.ਟੀ. ਸਮੇਤ ਮੁਢਲਾ ਕਿਰਾਇਆ
before_departure,Before Departure,ਰਵਾਨਗੀ ਤੋਂ ਪਹਿਲਾਂ
bengaluru,Bengaluru,ਬੈਂਗਲੁਰੂ
bill_date,Bill date,ਬਿੱਲ ਦੀ ਮਿਤੀ
bill_info,Bill Info,ਬਿੱਲ ਦੀ ਜਾਣਕਾਰੀ
block_lr,Block LR,ਬਲਾਕ ਐਲ.ਆਰ.
blocking_party,Blocking Party,ਬਲਾਕਿੰਗ ਪਾਰਟੀ
boarded,Boarded,ਬੋਰਡਿੰਗ
book,Book,ਬੁੱਕ ਕਰੋ
book_again,Book again,ਦੁਬਾਰਾ ਬੁੱਕ ਕਰੋ
book_amt,Book Amt,ਬੁੱਕ ਕਰਨ ਦੀ ਰਕਮ
