Tag,String,Translation
advance_booking,Advance Booking,एडवांस बुकिंग 
agent_details,Agent Details,एजेंट विवरण
all_branches,All Branches,सभी शाखाएँ
all_cities,All Cities,सभी शहर
all_details,All Details,सभी विवरण
all_users,All Users,सभी उपयोगकर्ता
an_error_occured,An error occurred,एक त्रुटि उत्पन्न हुई 
assigned,Assigned,असाइन किया गया 
assigned_trip_total,Assigned Trip Total,असाइन यात्रा का टोटल/कुल योग
autopos,AutoPOS,ऑटोपीओएस
bkd_seats,Bkd Seats,बुक की गयी सीटें
block_lr_failed,Block LR Failed,ब्लॉक एलआर विफल हुआ 
blocked,Blocked,ब्लॉक किया गया 
bluetooth_already_connected,Bluetooth already connected,ब्लूटूथ पहले से ही कनेक्ट है
bluetooth_connected,Bluetooth connected.,ब्लूटूथ कनेक्ट किया गया।
booking_dt,Booking Dt,बुकिंग दिनांक
booking_print,Booking Print,बुकिंग प्रिंट
branch_details,Branch Details,शाखा विवरण
brand,Brand,ब्रांड
buildnumber,BuildNumber,बिल्ड संख्या 
bus_cancellation,Bus Cancellation,बस रद्दीकरण
nus_early,Bus Early,बस में जल्दी 
bus_delay,Bus Delay,बस में देरी
bus_no_change,Bus No Change,बस में कोई बदलाव नहीं
bus_conductor,BUS | Conductor,बस | कंडक्टर
bus_passenger,BUS | Passenger,बस | यात्री
bus_type_change,Bus Type Change,बस का प्रकार बदला गया 
camera_permission_granted,Camera permission granted!!,कैमरे की अनुमति प्रदान की गयी!!
cancel_chart_successfull,Cancel chart sucessfull,चार्ट सफलतापूर्वक रद्द किया गया 
cancelled_successfully,Cancelled successfully,सफलतापूर्वक रद्द किया गया
charges,Charges,शुल्क
cargo_block_lr,Cargo | Block LR,कार्गो | ब्लॉक एलआर
cargo_booking,Cargo | Booking,कार्गो | बुकिंग
cargo_branch_recharge,Cargo | Branch Recharge,कार्गो | शाखा रीचार्ज 
cargo_branch_transfer_receive,Cargo | Branch Transfer Receive,कार्गो | शाखा हस्तांतरण प्राप्त हुआ 
cargo_branch_transfer_received,Cargo | Branch Transfer Received,कार्गो | शाखा स्थानांतरण प्राप्त हुआ
cargo_cancel_branch_transfer,Cargo | Cancel Branch Transfer,कार्गो | शाखा स्थानांतरण रद्द करना
cargo_delivery,Cargo | Delivery,कार्गो | वितरण
cargo_dispatch,Cargo | Dispatch,कार्गो | डिस्पैच 
cargo_files_cleared,Cargo Files Cleared,कार्गो फ़ाइलें हटाई गईं 
cargo_lr_search,Cargo | LR Search,कार्गो | एलआर खोज
cargo_receive,Cargo | Receive,कार्गो | प्राप्त करना
cargo_recharge,Cargo | Recharge,कार्गो | रीचार्ज करना 
cargo_refund,Cargo Refund,कार्गो रिफंड
cargo_report,Cargo report,कार्गो रिपोर्ट
cargo_service_created,cargo Service Created,कार्गो सेवा बनाई गई
challan_number,Challan Number,चालान संख्या 
chart_cancelled,Chart cancelled,चार्ट रद्द कर दिया गया
chartdate,ChartDate,चार्ट दिनांक
companyid,CompanyID,कंपनी आईडी
conductor_penalty_details,Conductor Penalty Details,कंडक्टर दंड विवरण
confirmation,Confirmation,पुष्टीकरण
connecting_with_bluetooth,Connecting with bluetooth,ब्लूटूथ से कनेक्ट हो रहा है
consigner,Consigner,कंसाइनर 
coupon_applied_successfully,Coupon applied successfully,कूपन सफलतापूर्वक लागू हो गया
couponid,CouponId,कूपन आईडी
couponname,CouponName,कूपन नाम
cover,Cover,कवर 
curr_book_seats,Curr. Book Seat,वर्तमान बुक की गयी सीट 
current_booking,Current Booking,वर्तमान बुकिंग
custom_sms,Custom SMS,कस्टम एसएमएस
customer_copy,Customer copy,ग्राहक की प्रति
customer_pnr,Customer PNR,ग्राहक पी.एन.आर
data_not_found,Data not found,डेटा नहीं मिला
date_not_valid,Date Not Valid,दिनांक मान्य नहीं है
delivery_failed,Delivery  Failed!!,डिलीवरी विफल रही!!
delivery_print,Delivery Print,डिलिवरी प्रिंट
delivery_successful,Delivery Successful,डिलीवरी सफल हुई 
device_id_copied,Device id copied!,डिवाइस/उपकरणआईडी कॉपी की गई!
device_metrics,Device metrics,डिवाइस/उपकरणमेट्रिक्स
diesel,Diesel,डीज़ल
diesel_added_successfully,Diesel Added Successfully,डीजल सफलतापूर्वक जोड़ा गया
dispatch_successful,Dispatch Successful,सफलतापूर्वक डिस्पैच किया गया 
doc_charges,Doc charges,दस्तावेज शुल्क 
driv_code,Driv Code,ड्राइवर कोड 
drop_charges,Drop Charges,ड्राप करने का शुल्क 
enable_gps,Enable GPS,जीपीएस सक्षम करना 
enabling_bluetooth,Enabling bluetooth,ब्लूटूथ सक्षम करना
end_time,End Time,अंत समय
enter_bank_name,Enter bank name,बैंक का नाम दर्ज करना
enter_diesel_litres,Enter diesel litres!,डीजल लीटर दर्ज करना!
enter_expense_amount,Enter expense amount!,व्यय राशि दर्ज करना!
enter_from_date,Enter from date,किस दिनांक से हैं यह दर्ज करना 
enter_lr_no,Enter LR no,एलआर संख्या दर्ज करना
enter_mode_type,Enter mode type,मोड प्रकार दर्ज करना
enter_pnr,Enter PNR,पी.एन.आर. दर्ज करना
enter_recharge_amount,Enter recharge amount,रीचार्ज राशि दर्ज करना
enter_refund_amount,Enter refund amount,धनवापसी राशि दर्ज करना
enter_ticket_number,Enter ticket number,टिकट संख्या दर्ज करना
enter_to_date,Enter to date,दिनांक दर्ज करना
enter_valid_data,Enter valid data!,वैध डेटा दर्ज करना!
enter_valid_fare,Enter valid fare for,के लिए वैध किराया दर्ज करना
enter_valid_notes,Enter valid notes!,वैध नोट दर्ज करना!
error_scanning_qr,Error scanning QR,क्यूआर स्कैन करने में त्रुटि
error_while_adding_expense,Error while adding expense,व्यय जोड़ते समय त्रुटि
exit,Exit,बाहर आएं 
express_checkout_failure,Express checkout failure,एक्सप्रेस चेकआउट विफलता
for_agent,For Agent :,एजेंट के लिए:
for_branch_user,For Branch User : ,शाखा उपयोगकर्ता के लिए:
frieght,Frieght,किराया 
fuel,Fuel,ईंधन
general,General (Pine Labs),जनरल  (पाइन लैब्स)
general_conductor,General Conductor (Pine Labs),जनरल कंडक्टर (पाइन लैब्स)
generalm,General ( Mswipe ),जनरल (एमस्वाइप)
general_conductorm,General Conductor ( Mswipe ),जनरल कंडक्टर (एमस्वाइप)
guest,Guest,मेहमान 
inspection_report,Inspection Report,निरीक्षण रिपोर्ट
inspector_name,Inspector Name,इंस्पेक्टर का नाम
invalid_data,Invalid data,अमान्य डेटा
invalid_open_ticket,Invalid open ticket.,अमान्य ओपन टिकट 
journey_dt,Journey Dt,यात्रा का दिनांक 
last_closed_time,Last closed time : ,अंतिम बंद समय:
later,Later,बाद में
load_seat_chart1,Load Seat Chart 1,लोड सीट चार्ट 1
log_out,Log out,लॉग आउट
luggage_amt,Luggage Amnt,सामान राशि
lugg_conductor,LUGG | Conductor,सामान | कंडक्टर
lugg_passenger,LUGG | Passenger,सामान | यात्री
luggage_ticket,Luggage Ticket,सामान का टिकट
luggage_units,luggage units,सामान इकाइयाँ
mailid,MailId,मेल आईडी
manual_lr,Manual LR:,मैनुअल एलआर:
manual_lr_number,Manual LR Number,मैनुअल एलआर संख्या
maven_device_id,Maven Device Id,मेवेन डिवाइस/उपकरणआईडी
misc,Misc,विविध
misc_penalty_details,Misc Penalty Details,विविध दंड विवरण
mobilenumber,MobileNumber,मोबाइल संख्या 
multiple,Multiple,विविध 
unlimited,Unlimited,असीमित
net_trip_amnt,Net Trip Amnt,यात्रा की शुद्ध राशि 
net_trip_amount,Net Trip Amount,यात्रा की शुद्ध राशि 
no_branch_found,No branch found !,कोई शाखा नहीं मिली!
no_cases_booked,No cases booked!,कोई मामला दर्ज नहीं!
no_coupons_found,No coupons found,कोई कूपन नहीं मिला
no_internet_connection,No Internet connection,कोई इंटरनेट कनेक्शन नहीं
no_match_found,No Match Found!,कोई मेल नहीं मिला!
no_network_available,No network available!,कोई नेटवर्क उपलब्ध नहीं!
no_penalty,No Penalty,कोई दंड नहीं
no_of_lrs,No of LRs : ,एलआर की संख्या:
no_offline_trips,No offline trips,कोई ऑफ़लाइन यात्रा नहीं
no_route_found,No route found,कोई मार्ग नहीं मिला
no_section_found,No section found,कोई सेक्शन नहीं मिला 
no_subroutes_found,No subroutes found,कोई उपमार्ग नहीं मिला
no_trips,No Trips Assigned,कोई यात्रा असाइन नहीं 
no_user_found,No User Found,कोई उपयोगकर्ता नहीं मिला
no_vehicle_found,No vehicle found !,कोई वाहन नहीं मिला!
office_copy,Office copy,ऑफिस कॉपी/कार्यालय प्रति 
offline_bkg_seat,Offline Bkg Seat,  ऑफलाइन बुकिंग सीट 
offline_bookings,Offline Bookings,ऑफलाइन बुकिंग
open_tickets,Open Tickets,ओपन टिकट्स 
orientation,orientation,ओरिएंटेशन 
otp_not_verified,OTP not verified,ओटीपी सत्यापित नहीं है
otp_validation_fail,OTP validation fails,ओटीपी सत्यापन विफल हुआ 
otp_verified_successfully,OTP verified successfully,ओटीपी सफलतापूर्वक सत्यापित हो गया
packet,Packet,पैकेट
passenger_penalty_details,Passenger Penalty Details,यात्री जुर्माने का विवरण
paid_topay,Paid-ToPay,भुगतान करने के लिए भुगतान 
paid_type,Paid type,भुगतान प्रकार
parcel,Parcel,पार्सल
passenger_seat,Passenger - seat :,यात्री सीट :
penalties,penalties,दंड
penalty_added,Penalty Added,दंड जोड़ा गया
penalty_amnt,Penalty Amnt,दंड राशि
penalty_case,Penalty Case,जुर्माने का मामला
penaly_id,Penalty ID,दंड आईडी
permission_granted,Permission granted!!,अनुमति प्रदान की गयी 
pickup_change,Pick Up Change,पिक अप में परिवर्तन 
pickup_van_details,Pick Up Van Details,पिकअप वैन विवरण
pin_validated_successfully,Pin validated successfully,पिन सफलतापूर्वक मान्य किया गया
play_services,Play services,प्ले सर्विस 
please_collect_rs,Please collect Rs,कृपया रुपये एकत्र करें
please_select_branch,Please select branch !!,कृपया शाखा का चयन करें!!
please_select_consignment,Please select consignment,कृपया कन्साइनमेंट का चयन करें 
please_select_pickup,Please select pickup !,कृपया पिकअप का चयन करें!
pnr_name,PNR/Name,पी.एन.आर./नाम
pnr_not_valid,PNR Not valid,पी.एन.आर. मान्य नहीं है
pnrno,PNRNo,पी.एन.आर. संख्या 
police_warrant,Police Warrant,पुलिस वारंट
postpaid,Postpaid,पोस्टपेड
prepaid,Prepaid,प्रीपेड
print_preview,Print Preview,मुद्रण पूर्वावलोकन
print_success,Print success,प्रिंट सफल हुआ 
printed_successfully,Printed successfully!,सफलतापूर्वक प्रिंट किया गया 
printer_connected_successfully,Printer connected successfully!,प्रिंटर सफलतापूर्वक कनेक्ट हुआ!
printing_data,Printing data!,प्रिंटिंग डेटा 
qr_charge_customer,QR charge from customer,ग्राहक से क्यूआर शुल्क
qr_scanning_cancelled,QR scanning cancelled,क्यूआर स्कैनिंग रद्द की गयी 
receiver_id_image,Receiver ID &amp; Image,पाने वाले की आईडी और एएमपी;तस्वीर 
receiver_mobile_number,Receiver Mobile Number,पाने वाले की मोबाइल संख्या
receiver_no,Receiver No,पाने वाले की संख्या 
reciept,Reciept,रसीद
redeem_coupons,Redeem Coupons,रिडीम कूपन्स 
remotepos,Remote POS,रिमोट पीओएस
scan_qr_code,Scan QR code,क्यूआर कोड स्कैन करना 
search_booking,Search Booking,बुकिंग खोजना 
search_with_pnr,Search with PNR,पी एन आर से खोजना 
seats_count,Seats Count,सीटों की गिनती करना 
